PARAMETER_FILE = ./LKH-3.0.7/mona-lisa100K.par
Reading PROBLEM_FILE: "./LKH-3.0.7/mona-lisa100K.tsp" ... done
ASCENT_CANDIDATES = 50
BACKBONE_TRIALS = 0
BACKTRACKING = NO
# BWTSP =
# CANDIDATE_FILE =
CANDIDATE_SET_TYPE = ALPHA
# DISTANCE =
# DEPOT =
# EDGE_FILE =
EXCESS = 1e-05
EXTERNAL_SALESMEN = 0
EXTRA_CANDIDATES = 0 
EXTRA_CANDIDATE_SET_TYPE = QUADRANT
GAIN23 = YES
GAIN_CRITERION = YES
INITIAL_PERIOD = 50000
INITIAL_STEP_SIZE = 1
INITIAL_TOUR_ALGORITHM = WALK
# INITIAL_TOUR_FILE = 
INITIAL_TOUR_FRACTION = 1.000
# INPUT_TOUR_FILE = 
KICK_TYPE = 0
KICKS = 1
# MAX_BREADTH =
MAKESPAN = NO
MAX_CANDIDATES = 5 
MAX_SWAPS = 100000
MAX_TRIALS = 100000
# MERGE_TOUR_FILE =
MOVE_TYPE = 5 
# MTSP_MIN_SIZE =
# MTSP_MAX_SIZE =
# MTSP_OBJECTIVE =
# MTSP_SOLUTION_FILE = 
# NONSEQUENTIAL_MOVE_TYPE = 5
OPTIMUM = 5758700
# OUTPUT_TOUR_FILE = 
PATCHING_A = 1 
PATCHING_C = 0 
# PI_FILE = 
POPMUSIC_INITIAL_TOUR = NO
POPMUSIC_MAX_NEIGHBORS = 5
POPMUSIC_SAMPLE_SIZE = 10
POPMUSIC_SOLUTIONS = 50
POPMUSIC_TRIALS = 1
# POPULATION_SIZE = 0
PRECISION = 100
PROBLEM_FILE = ./LKH-3.0.7/mona-lisa100K.tsp
RECOMBINATION = IPT
RESTRICTED_SEARCH = YES
RUNS = 10
SALESMEN = 1
SCALE = 1
SEED = 1
STOP_AT_OPTIMUM = YES
SUBGRADIENT = YES
# SUBPROBLEM_SIZE =
# SUBPROBLEM_TOUR_FILE = 
SUBSEQUENT_MOVE_TYPE = 5 
SUBSEQUENT_PATCHING = YES
# TIME_LIMIT =
TOUR_FILE = ./LKH-3.0.7/mona-lisa100K-output.txt
TRACE_LEVEL = 1
VEHICLES = 1

Lower bound = 5751516.2, Gap = 0.12%, Ascent time = 25006.57 sec.
Cand.min = 3, Cand.avg = 5.0, Cand.max = 5
Preprocessing time = 26220.56 sec.
* 1: Cost = 5759288, Gap = 0.0102%, Time = 18.74 sec.
* 2: Cost = 5759257, Gap = 0.0097%, Time = 34.54 sec.
* 3: Cost = 5759247, Gap = 0.0095%, Time = 49.12 sec.
* 4: Cost = 5759245, Gap = 0.0095%, Time = 62.44 sec.
* 5: Cost = 5759243, Gap = 0.0094%, Time = 78.78 sec.
* 6: Cost = 5759240, Gap = 0.0094%, Time = 94.30 sec.
* 7: Cost = 5759239, Gap = 0.0094%, Time = 118.83 sec.
* 8: Cost = 5759235, Gap = 0.0093%, Time = 131.23 sec.
* 9: Cost = 5759234, Gap = 0.0093%, Time = 148.65 sec.
* 11: Cost = 5759225, Gap = 0.0091%, Time = 180.58 sec.
* 12: Cost = 5759211, Gap = 0.0089%, Time = 193.16 sec.
* 14: Cost = 5759209, Gap = 0.0088%, Time = 221.27 sec.
* 16: Cost = 5759207, Gap = 0.0088%, Time = 250.95 sec.
* 17: Cost = 5759183, Gap = 0.0084%, Time = 265.59 sec.
* 18: Cost = 5759179, Gap = 0.0083%, Time = 278.24 sec.
* 19: Cost = 5759178, Gap = 0.0083%, Time = 294.63 sec.
* 20: Cost = 5759150, Gap = 0.0078%, Time = 306.36 sec.
* 21: Cost = 5759149, Gap = 0.0078%, Time = 317.65 sec.
* 22: Cost = 5759144, Gap = 0.0077%, Time = 334.11 sec.
* 23: Cost = 5759139, Gap = 0.0076%, Time = 352.92 sec.
* 24: Cost = 5759136, Gap = 0.0076%, Time = 368.17 sec.
* 25: Cost = 5759106, Gap = 0.0071%, Time = 378.43 sec.
* 26: Cost = 5759084, Gap = 0.0067%, Time = 393.32 sec.
* 28: Cost = 5759059, Gap = 0.0062%, Time = 425.55 sec.
* 29: Cost = 5759058, Gap = 0.0062%, Time = 442.15 sec.
* 30: Cost = 5759056, Gap = 0.0062%, Time = 459.26 sec.
* 31: Cost = 5759038, Gap = 0.0059%, Time = 474.88 sec.
* 32: Cost = 5759035, Gap = 0.0058%, Time = 489.83 sec.
* 33: Cost = 5759030, Gap = 0.0057%, Time = 508.04 sec.
* 34: Cost = 5759026, Gap = 0.0057%, Time = 519.60 sec.
* 36: Cost = 5759011, Gap = 0.0054%, Time = 546.65 sec.
* 37: Cost = 5759006, Gap = 0.0053%, Time = 561.18 sec.
* 42: Cost = 5759004, Gap = 0.0053%, Time = 643.35 sec.
* 44: Cost = 5759003, Gap = 0.0053%, Time = 673.52 sec.
* 45: Cost = 5759001, Gap = 0.0052%, Time = 685.54 sec.
* 47: Cost = 5758984, Gap = 0.0049%, Time = 730.30 sec.
* 48: Cost = 5758979, Gap = 0.0048%, Time = 744.40 sec.
* 49: Cost = 5758978, Gap = 0.0048%, Time = 755.97 sec.
* 53: Cost = 5758977, Gap = 0.0048%, Time = 811.62 sec.
* 57: Cost = 5758976, Gap = 0.0048%, Time = 890.36 sec.
* 59: Cost = 5758974, Gap = 0.0048%, Time = 920.30 sec.
* 60: Cost = 5758969, Gap = 0.0047%, Time = 941.76 sec.
* 64: Cost = 5758932, Gap = 0.0040%, Time = 993.60 sec.
* 65: Cost = 5758923, Gap = 0.0039%, Time = 1013.91 sec.
* 66: Cost = 5758921, Gap = 0.0038%, Time = 1022.80 sec.
* 67: Cost = 5758914, Gap = 0.0037%, Time = 1038.06 sec.
